qnrnumb,visit,howoft,likenet,research,safeweb,goodtool,notouse,another,likeproc,hassle,visits,friend,billbrd,banner,surfing,sengine,tv,theater,nwspaper,other,easyuse,helpful,positive,useonly,influenc,secure,didbuy,better,howmuch,safe,wanttest,price,tradein,handson,checkit,noweeks,worth,sticker,actual,age,marital,children,educate,race,income,gender
11.0,Yes,Very often,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,11.0,No,No,Yes,Yes,Yes,No,No,No,No,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Yes,A great deal better,Strongly Agree,Agree,Strongly Disagree,Disagree,Neutral,Agree,2.0,,21000.0,18000.0,25.0,Single,,High school,Asian,"$65,000 - $80,000",Male
12.0,Yes,Often,Agree,Agree,Agree,Strongly Agree,Neutral,Strongly Disagree,Neutral,Strongly Disagree,10.0,No,No,No,Yes,No,No,No,No,No,Strongly Agree,Agree,Disagree,Disagree,Strongly Agree,Agree,No,,,Agree,Agree,Strongly Agree,Agree,Disagree,Disagree,1.0,8000.0,12000.0,10000.0,33.0,Single,,High school,Caucasian,"$65,000 - $80,000",Male
13.0,Yes,Occasionally,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Disagree,Agree,5.0,No,No,No,No,Yes,No,No,No,No,Agree,Strongly Disagree,Disagree,Agree,Neutral,Agree,No,,,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Neutral,Neutral,2.0,8000.0,14000.0,11000.0,26.0,Single,,High school,Caucasian,"$65,000 - $80,000",Female
14.0,Yes,Almost never,Disagree,Disagree,Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,5.0,No,No,Yes,Yes,Yes,No,No,No,No,Agree,Strongly Disagree,Neutral,Strongly Disagree,Agree,Strongly Agree,No,,,Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,5.0,7000.0,11000.0,8000.0,33.0,Single,,Undergraduate degree,Caucasian,"$80,000 - $95,000",Male
15.0,Yes,Occasionally,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,10.0,No,No,No,No,No,Yes,No,No,No,Agree,Neutral,Neutral,Disagree,Agree,Strongly Agree,No,,,Neutral,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,5.0,,10000.0,8000.0,27.0,Married,1.0,Some college,Caucasian,"$35,000 - $50,000",Male
16.0,Yes,Almost never,Disagree,Disagree,Disagree,Strongly Disagree,Neutral,Neutral,Disagree,Agree,3.0,No,No,No,Yes,No,Yes,No,No,No,Strongly Agree,Neutral,Neutral,Disagree,Agree,Strongly Agree,No,,,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Neutral,7.0,14000.0,17000.0,15000.0,45.0,Divorced,1.0,Less than high school,Caucasian,"$65,000 - $80,000",Male
17.0,Yes,Very often,Agree,Neutral,Strongly Agree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Neutral,10.0,No,No,No,No,Yes,No,No,No,No,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Yes,Yes,Somewhat better,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Disagree,1.0,5000.0,10000.0,7000.0,23.0,Single,,Some college,Caucasian,"$80,000 - $95,000",Male
18.0,Yes,Almost never,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Neutral,Disagree,Strongly Agree,4.0,No,No,Yes,Yes,Yes,No,No,No,No,Disagree,Disagree,Disagree,Agree,Neutral,Neutral,No,,,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,2.0,14000.0,20000.0,19000.0,35.0,Married,2.0,Undergraduate degree,Caucasian,"$80,000 - $95,000",Female
19.0,Yes,Very often,Strongly Disagree,Neutral,Strongly Agree,Agree,Strongly Disagree,Agree,Disagree,Strongly Disagree,11.0,Yes,No,No,Yes,Yes,Yes,No,No,No,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Strongly Agree,No,,,Agree,Agree,Disagree,Strongly Disagree,Strongly Agree,Disagree,1.0,7000.0,13000.0,12000.0,27.0,Married,2.0,Some college,Black,"$35,000 - $50,000",Male
20.0,Yes,Occasionally,Agree,Agree,Neutral,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Neutral,6.0,No,Yes,Yes,No,No,No,No,No,No,Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Agree,No,,,Strongly Agree,Agree,Strongly Disagree,Neutral,Agree,Strongly Disagree,4.0,4000.0,10000.0,8000.0,34.0,Single,,Other,Caucasian,"$35,000 - $50,000",Male
21.0,Yes,Occasionally,Disagree,Agree,Neutral,Neutral,Strongly Disagree,Disagree,Disagree,Strongly Agree,4.0,No,No,No,No,No,No,No,No,No,Strongly Agree,Agree,Agree,Agree,Neutral,Agree,No,,,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,2.0,20000.0,25000.0,23000.0,23.0,Married,1.0,Graduate degree,Caucasian,"Over $110,000",Female
22.0,Yes,Occasionally,Neutral,Agree,Neutral,Agree,Disagree,Disagree,Strongly Disagree,Neutral,10.0,No,No,No,Yes,Yes,Yes,No,No,No,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,No,,,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Neutral,5.0,6000.0,10000.0,9000.0,56.0,Married,2.0,Undergraduate degree,Caucasian,"Over $110,000",Male
23.0,Yes,Almost never,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Neutral,Disagree,Strongly Disagree,3.0,No,No,No,No,No,No,No,No,No,Neutral,Neutral,Neutral,Strongly Disagree,Neutral,Agree,No,,,Disagree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Disagree,5.0,14000.0,21000.0,19000.0,41.0,Divorced,1.0,High school,Caucasian,"$80,000 - $95,000",Male
24.0,Yes,Often,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,10.0,No,No,Yes,No,No,No,No,No,No,Agree,Agree,Neutral,Neutral,Agree,Strongly Agree,No,,,Strongly Disagree,Agree,Strongly Disagree,Neutral,Agree,Strongly Disagree,7.0,13000.0,18000.0,16000.0,25.0,Married,1.0,Graduate degree,Asian,"$95,000 - $110,000",Male
25.0,Yes,Very often,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree,10.0,No,No,No,No,Yes,No,No,No,No,Strongly Agree,Strongly Disagree,Neutral,Disagree,Agree,Agree,No,,,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,1.0,11000.0,16000.0,14000.0,30.0,Married,2.0,Undergraduate degree,Caucasian,"$95,000 - $110,000",Male
26.0,Yes,Very often,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Disagree,Neutral,Strongly Agree,11.0,No,No,No,No,Yes,Yes,No,No,No,Agree,Agree,Neutral,Neutral,Agree,Strongly Agree,No,,,Strongly Agree,Agree,Strongly Disagree,Neutral,Strongly Agree,Disagree,3.0,3000.0,10000.0,8000.0,26.0,Single,,Some college,Caucasian,"$65,000 - $80,000",Male
27.0,Yes,Occasionally,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Disagree,Agree,7.0,No,No,No,Yes,No,No,No,No,No,Strongly Agree,Neutral,Neutral,Neutral,Agree,Agree,No,,,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,1.0,2000.0,10000.0,8000.0,34.0,Single,,Less than high school,Caucasian,"$50,000 - $65,000",Male
28.0,Yes,Often,Strongly Agree,Agree,Agree,Agree,Disagree,Neutral,Agree,Neutral,12.0,No,No,No,Yes,Yes,No,No,No,No,Agree,Agree,Disagree,Strongly Disagree,Agree,Neutral,No,,,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,2.0,8000.0,13000.0,11000.0,41.0,Married,2.0,Other,Black,"Over $110,000",Female
29.0,Yes,Almost never,Disagree,Neutral,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Strongly Disagree,6.0,No,No,No,No,Yes,No,No,No,No,Strongly Disagree,Neutral,Neutral,Strongly Disagree,Neutral,Strongly Agree,No,,,Neutral,Neutral,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,5.0,10000.0,16000.0,15000.0,33.0,Married,0.0,Graduate degree,Caucasian,"$95,000 - $110,000",Male
30.0,Yes,Almost never,Disagree,Disagree,Disagree,Disagree,Neutral,Strongly Disagree,Disagree,Agree,6.0,No,No,Yes,Yes,Yes,Yes,No,No,No,Agree,Strongly Disagree,Neutral,Neutral,Strongly Agree,Agree,Yes,Yes,Somewhat better,Strongly Agree,Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,3.0,5000.0,10000.0,7000.0,34.0,Separated,2.0,High school,Black,"$50,000 - $65,000",Male
31.0,Yes,Almost never,Disagree,Neutral,Disagree,Neutral,Strongly Agree,Neutral,Disagree,Neutral,6.0,No,No,Yes,Yes,No,No,No,No,No,Strongly Disagree,Agree,Disagree,Neutral,Agree,Strongly Agree,No,,,Disagree,Strongly Agree,Agree,Strongly Disagree,Agree,Neutral,1.0,,10000.0,8000.0,36.0,Single,,Less than high school,Caucasian,"Under $35,000",Male
32.0,Yes,Occasionally,Neutral,Neutral,Neutral,Disagree,Strongly Agree,Neutral,Strongly Agree,Agree,8.0,No,No,No,No,No,No,No,No,No,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Agree,Strongly Agree,No,,,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Disagree,Strongly Disagree,1.0,5000.0,11000.0,9000.0,26.0,Married,2.0,Less than high school,Black,"$35,000 - $50,000",Male
33.0,Yes,Occasionally,Neutral,Neutral,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,7.0,No,No,No,Yes,Yes,No,Yes,No,No,Neutral,Agree,Disagree,Disagree,Neutral,Strongly Agree,No,,,Neutral,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,1.0,7000.0,11000.0,9000.0,38.0,Separated,1.0,Some college,Asian,"$80,000 - $95,000",Male
34.0,Yes,Often,Agree,Strongly Agree,Agree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,11.0,No,No,No,Yes,Yes,No,No,No,No,Strongly Agree,Disagree,Disagree,Strongly Disagree,Agree,Agree,No,,,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Neutral,5.0,5000.0,10000.0,7000.0,46.0,Married,2.0,Less than high school,Caucasian,"$50,000 - $65,000",Female
35.0,Yes,Never,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Neutral,Strongly Disagree,4.0,No,No,No,Yes,Yes,Yes,No,No,No,Strongly Agree,Agree,Neutral,Disagree,Agree,Strongly Agree,No,,,Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Agree,1.0,10000.0,14000.0,12000.0,36.0,Single,,Some college,Caucasian,"$80,000 - $95,000",Male
36.0,Yes,Occasionally,Neutral,Agree,Neutral,Strongly Disagree,Agree,Strongly Disagree,Disagree,Agree,6.0,No,No,No,No,Yes,Yes,No,No,No,Strongly Agree,Agree,Neutral,Strongly Disagree,Agree,Agree,No,,,Disagree,Strongly Agree,Strongly Agree,Neutral,Neutral,Agree,1.0,14000.0,19000.0,17000.0,32.0,Single,,Some college,Caucasian,"$65,000 - $80,000",Male
37.0,Yes,Almost never,Disagree,Disagree,Disagree,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Neutral,4.0,No,No,Yes,No,No,Yes,No,No,No,Strongly Agree,Neutral,Neutral,Disagree,Agree,Strongly Agree,No,,,Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,4.0,12000.0,16000.0,14000.0,43.0,Married,1.0,Undergraduate degree,Black,"Over $110,000",Male
38.0,Yes,Often,Agree,Strongly Agree,Agree,Neutral,Strongly Disagree,Disagree,Neutral,Strongly Agree,7.0,No,No,No,No,Yes,No,No,No,No,Disagree,Agree,Neutral,Disagree,Neutral,Strongly Agree,No,,,Strongly Disagree,Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,4.0,21000.0,27000.0,25000.0,36.0,Married,0.0,Other,Caucasian,"Over $110,000",Male
39.0,Yes,Often,Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,12.0,No,No,Yes,No,Yes,No,No,No,No,Agree,Disagree,Agree,Agree,Agree,Agree,No,,,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,1.0,4000.0,10000.0,8000.0,23.0,Single,,Undergraduate degree,Caucasian,"$80,000 - $95,000",Male
40.0,Yes,Almost never,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Disagree,Strongly Agree,3.0,No,No,Yes,No,No,Yes,No,No,No,Strongly Agree,Neutral,Disagree,Strongly Disagree,Agree,Strongly Agree,No,,,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,2.0,6000.0,10000.0,8000.0,29.0,Single,,Other,Black,"Under $35,000",Female
41.0,Yes,Never,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,Agree,Strongly Agree,3.0,No,No,No,No,Yes,No,No,No,No,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Agree,Agree,No,,,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,6.0,14000.0,19000.0,17000.0,41.0,Divorced,3.0,Some college,Hispanic,"$95,000 - $110,000",Male
42.0,Yes,Occasionally,Neutral,Neutral,Neutral,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Neutral,7.0,No,No,No,No,No,Yes,No,No,No,Neutral,Agree,Agree,Neutral,Agree,Strongly Agree,No,,,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Disagree,4.0,5000.0,10000.0,8000.0,23.0,Single,,Some college,Hispanic,"$65,000 - $80,000",Female
43.0,Yes,Often,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Strongly Agree,11.0,Yes,No,Yes,Yes,Yes,No,No,No,No,Strongly Agree,Disagree,Strongly Agree,Neutral,Agree,Strongly Agree,Yes,Yes,A great deal better,Disagree,Strongly Agree,Disagree,Disagree,Agree,Agree,3.0,13000.0,18000.0,15000.0,40.0,Single,,Undergraduate degree,Caucasian,"$95,000 - $110,000",Male
44.0,Yes,Almost never,Disagree,Disagree,Disagree,Strongly Disagree,Agree,Neutral,Strongly Disagree,Strongly Agree,7.0,Yes,No,No,Yes,No,No,No,No,No,Strongly Agree,Disagree,Agree,Disagree,Agree,Strongly Agree,No,,,Disagree,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Disagree,4.0,16000.0,21000.0,19000.0,35.0,Married,1.0,Other,Black,"Over $110,000",Male
45.0,Yes,Often,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Neutral,Disagree,Disagree,6.0,No,No,Yes,Yes,Yes,No,No,No,No,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,Neutral,No,,,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,9.0,14000.0,19000.0,17000.0,41.0,Married,2.0,Graduate degree,Caucasian,"Over $110,000",Male
46.0,Yes,Often,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,12.0,No,No,No,Yes,Yes,Yes,No,No,No,Agree,Neutral,Agree,Agree,Agree,Neutral,No,,,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,1.0,,10000.0,8000.0,50.0,Single,,Graduate degree,Asian,"$50,000 - $65,000",Male
47.0,Yes,Very often,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,7.0,No,No,No,Yes,Yes,No,No,Yes,No,Strongly Agree,Agree,Agree,Strongly Disagree,Agree,Agree,No,,,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Neutral,2.0,10000.0,16000.0,14000.0,27.0,Single,,Some college,Caucasian,"$65,000 - $80,000",Male
48.0,Yes,Often,Neutral,Strongly Agree,Agree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,13.0,No,No,No,Yes,Yes,No,No,No,No,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Yes,Yes,Somewhat better,Strongly Disagree,Neutral,Neutral,Agree,Strongly Agree,Strongly Disagree,2.0,13000.0,18000.0,14000.0,39.0,Married,2.0,Other,Caucasian,"Over $110,000",Female
49.0,Yes,Occasionally,Disagree,Agree,Neutral,Neutral,Neutral,Strongly Disagree,Neutral,Strongly Agree,3.0,No,No,No,Yes,No,Yes,No,No,No,Strongly Agree,Neutral,Agree,Strongly Disagree,Agree,Strongly Agree,No,,,Agree,Agree,Agree,Strongly Agree,Neutral,Strongly Disagree,7.0,9000.0,14000.0,12000.0,47.0,Married,1.0,Other,Black,"Over $110,000",Male
50.0,Yes,Never,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Strongly Agree,5.0,No,No,No,No,No,No,No,No,No,Disagree,Disagree,Agree,Disagree,Strongly Agree,Agree,No,,,Disagree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,2.0,,10000.0,8000.0,34.0,Single,,Undergraduate degree,Caucasian,"Under $35,000",Female
51.0,Yes,Often,Agree,Strongly Agree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Neutral,11.0,No,No,No,Yes,Yes,No,No,No,No,Strongly Agree,Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,No,,,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,10.0,12000.0,16000.0,15000.0,32.0,Single,,Other,Asian,"Over $110,000",Female
52.0,Yes,Occasionally,Neutral,Neutral,Neutral,Disagree,Strongly Agree,Agree,Neutral,Strongly Agree,5.0,No,No,No,Yes,Yes,Yes,No,No,No,Strongly Disagree,Disagree,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Yes,Yes,A great deal better,Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,1.0,10000.0,13000.0,10000.0,28.0,Single,,Some college,Caucasian,"$80,000 - $95,000",Male
53.0,Yes,Almost never,Neutral,Disagree,Neutral,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,3.0,No,No,No,No,Yes,No,No,No,No,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Yes,Yes,A great deal better,Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,7.0,1000.0,10000.0,7000.0,32.0,Divorced,2.0,Undergraduate degree,Black,"Under $35,000",Female
54.0,Yes,Almost never,Disagree,Neutral,Disagree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Neutral,5.0,No,No,No,No,No,No,No,No,No,Strongly Disagree,Neutral,Strongly Disagree,Disagree,Agree,Agree,No,,,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Agree,Disagree,7.0,3000.0,10000.0,8000.0,28.0,Single,,High school,Black,"Under $35,000",Male
55.0,Yes,Occasionally,Neutral,Neutral,Neutral,Neutral,Agree,Disagree,Strongly Disagree,Neutral,8.0,No,No,No,Yes,No,No,No,No,No,Strongly Agree,Disagree,Neutral,Strongly Disagree,Strongly Agree,Neutral,Yes,Yes,A great deal better,Neutral,Strongly Agree,Disagree,Neutral,Agree,Disagree,1.0,14000.0,19000.0,16000.0,30.0,Married,1.0,Graduate degree,Caucasian,"Over $110,000",Male
56.0,Yes,Almost never,Disagree,Neutral,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,6.0,No,No,No,No,Yes,No,No,No,No,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Neutral,No,,,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,4.0,7000.0,11000.0,9000.0,40.0,Widowed,2.0,Some college,Caucasian,"$35,000 - $50,000",Male
57.0,Yes,Very often,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Disagree,Strongly Agree,13.0,No,No,Yes,No,Yes,No,No,No,No,Neutral,Agree,Agree,Strongly Disagree,Agree,Strongly Agree,No,,,Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Strongly Disagree,3.0,7000.0,12000.0,10000.0,27.0,Single,,Graduate degree,Caucasian,"Under $35,000",Male
58.0,Yes,Never,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,2.0,No,No,No,Yes,Yes,Yes,No,No,No,Agree,Neutral,Agree,Disagree,Strongly Agree,Agree,Yes,Yes,A great deal better,Agree,Neutral,Strongly Disagree,Strongly Agree,Neutral,Disagree,3.0,5000.0,12000.0,9000.0,42.0,Married,2.0,Less than high school,Caucasian,"$50,000 - $65,000",Male
59.0,Yes,Occasionally,Neutral,Agree,Neutral,Agree,Strongly Agree,Neutral,Strongly Disagree,Strongly Agree,6.0,Yes,Yes,No,No,No,No,No,Yes,No,Agree,Neutral,Agree,Neutral,Agree,Agree,No,,,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Neutral,5.0,5000.0,10000.0,8000.0,35.0,Divorced,3.0,Graduate degree,Caucasian,"Under $35,000",Male
60.0,Yes,Often,Agree,Agree,Agree,Neutral,Neutral,Disagree,Strongly Disagree,Agree,5.0,No,No,No,No,Yes,No,No,No,Yes,Agree,Agree,Agree,Neutral,Agree,Neutral,No,,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,4.0,6000.0,11000.0,9000.0,41.0,Single,,High school,Black,"$80,000 - $95,000",Male
61.0,Yes,Often,Neutral,Strongly Agree,Agree,Agree,Disagree,Neutral,Strongly Disagree,Agree,5.0,No,No,No,Yes,No,No,No,No,No,Neutral,Neutral,Strongly Agree,Neutral,Agree,Strongly Agree,Yes,Yes,Much better,Agree,Strongly Agree,Neutral,Strongly Disagree,Agree,Strongly Disagree,1.0,13000.0,19000.0,15000.0,34.0,Single,,Undergraduate degree,Caucasian,"$80,000 - $95,000",Male
